Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Cleaned_1JWZ_338_mmff94_E=18.45,-6.1,0,0
Cleaned_1JWZ_338_mmff94_E=18.45,-5.7,4.185,3.217
Cleaned_1JWZ_338_mmff94_E=18.45,-5.7,3.033,1.254
Cleaned_1JWZ_338_mmff94_E=18.45,-5.5,2.128,1.081
Cleaned_1JWZ_338_mmff94_E=18.45,-5.3,4.147,3.51
Cleaned_1JWZ_338_mmff94_E=18.45,-5.1,3.636,1.73
Cleaned_1JWZ_338_mmff94_E=18.45,-5,2.951,2.043
Cleaned_1JWZ_338_mmff94_E=18.45,-4.9,4.464,3.616
Cleaned_1JWZ_338_mmff94_E=18.45,-4.9,3.963,3.304
Cleaned_1JWZ_2353_mmff94_E=104.95,-7.5,0,0
Cleaned_1JWZ_2353_mmff94_E=104.95,-7.3,4.015,2.075
Cleaned_1JWZ_2353_mmff94_E=104.95,-7.3,7.723,1.328
Cleaned_1JWZ_2353_mmff94_E=104.95,-7.2,2.11,1.549
Cleaned_1JWZ_2353_mmff94_E=104.95,-7.1,8.115,1.94
Cleaned_1JWZ_2353_mmff94_E=104.95,-7,6.116,4.435
Cleaned_1JWZ_2353_mmff94_E=104.95,-6.9,3.152,1.377
Cleaned_1JWZ_2353_mmff94_E=104.95,-6.8,2.964,1.595
Cleaned_1JWZ_2353_mmff94_E=104.95,-6.7,5.771,4.585
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.6,0,0
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.5,2.598,1.601
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.5,4.261,2.028
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.4,3.976,2.197
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.4,5.565,3.025
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.3,6.999,2.36
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.2,7.07,2.709
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.2,3.892,1.977
Cleaned_1JWZ_2520_mmff94_E=141.16,-6.2,5.062,2.982
Cleaned_1JWZ_4594_mmff94_E=55.64,-7.3,0,0
Cleaned_1JWZ_4594_mmff94_E=55.64,-7.3,7.825,4.567
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.9,3.287,2.332
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.8,3.519,2.897
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.8,2.204,1.939
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.8,3.87,2.514
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.6,7.736,3.228
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.6,7.105,5.81
Cleaned_1JWZ_4594_mmff94_E=55.64,-6.6,2.344,1.204
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4.8,0,0
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4.5,3.459,2.195
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4.4,5.875,4.925
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4.2,3.718,3.351
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4.1,4.27,2.394
Cleaned_1JWZ_12035_mmff94_E=-7.61,-4,2.158,2.101
Cleaned_1JWZ_12035_mmff94_E=-7.61,-3.9,3.046,2.547
Cleaned_1JWZ_12035_mmff94_E=-7.61,-3.9,3.79,2.644
Cleaned_1JWZ_12035_mmff94_E=-7.61,-3.9,4.171,2.292
Cleaned_1JWZ_5479530_mmff94_E=105.35,-7.3,0,0
Cleaned_1JWZ_5479530_mmff94_E=105.35,-7,10.64,2.798
Cleaned_1JWZ_5479530_mmff94_E=105.35,-7,5.227,3.042
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.8,10.254,3.367
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.8,10.218,2.9
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.7,2.657,2.167
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.6,5.959,3.896
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.6,4.248,2.899
Cleaned_1JWZ_5479530_mmff94_E=105.35,-6.4,10.541,2.587
