Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Cleaned_4HBU_338_mmff94_E=18.45,-6,0,0
Cleaned_4HBU_338_mmff94_E=18.45,-5.8,1.712,1.279
Cleaned_4HBU_338_mmff94_E=18.45,-5.7,2.556,1.502
Cleaned_4HBU_338_mmff94_E=18.45,-5.5,3.146,1.251
Cleaned_4HBU_338_mmff94_E=18.45,-5.5,2.162,1.643
Cleaned_4HBU_338_mmff94_E=18.45,-5.5,2.739,1.787
Cleaned_4HBU_338_mmff94_E=18.45,-5.4,2.165,1.015
Cleaned_4HBU_338_mmff94_E=18.45,-5.2,2.239,1.363
Cleaned_4HBU_338_mmff94_E=18.45,-4.7,4.633,3.061
Cleaned_4HBU_2353_mmff94_E=104.95,-7.2,0,0
Cleaned_4HBU_2353_mmff94_E=104.95,-6.9,8.414,1.803
Cleaned_4HBU_2353_mmff94_E=104.95,-6.8,5.899,3.637
Cleaned_4HBU_2353_mmff94_E=104.95,-6.7,7.858,2.379
Cleaned_4HBU_2353_mmff94_E=104.95,-6.7,9.103,3.803
Cleaned_4HBU_2353_mmff94_E=104.95,-6.6,4.526,2.983
Cleaned_4HBU_2353_mmff94_E=104.95,-6.6,5.925,3.613
Cleaned_4HBU_2353_mmff94_E=104.95,-6.5,2.112,1.488
Cleaned_4HBU_2353_mmff94_E=104.95,-6.3,8.42,2.344
Cleaned_4HBU_2520_mmff94_E=141.16,-6.4,0,0
Cleaned_4HBU_2520_mmff94_E=141.16,-6.4,2.734,1.524
Cleaned_4HBU_2520_mmff94_E=141.16,-6.3,2.324,1.306
Cleaned_4HBU_2520_mmff94_E=141.16,-6.3,7.413,3.095
Cleaned_4HBU_2520_mmff94_E=141.16,-6.2,6.851,2.384
Cleaned_4HBU_2520_mmff94_E=141.16,-6.1,6.66,2.923
Cleaned_4HBU_2520_mmff94_E=141.16,-6,5.923,2.906
Cleaned_4HBU_2520_mmff94_E=141.16,-5.9,4.915,2.991
Cleaned_4HBU_2520_mmff94_E=141.16,-5.9,6.266,3.321
Cleaned_4HBU_4594_mmff94_E=55.64,-7.2,0,0
Cleaned_4HBU_4594_mmff94_E=55.64,-6.9,5.332,3.408
Cleaned_4HBU_4594_mmff94_E=55.64,-6.8,6.529,4.3
Cleaned_4HBU_4594_mmff94_E=55.64,-6.8,5.852,3.465
Cleaned_4HBU_4594_mmff94_E=55.64,-6.7,8.461,3.15
Cleaned_4HBU_4594_mmff94_E=55.64,-6.7,7.81,2.206
Cleaned_4HBU_4594_mmff94_E=55.64,-6.6,8.286,1.981
Cleaned_4HBU_4594_mmff94_E=55.64,-6.4,5.532,3.445
Cleaned_4HBU_4594_mmff94_E=55.64,-6.3,5.022,3.139
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.6,0,0
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.5,4.917,4.197
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.5,3.768,2.583
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.5,2.852,2.672
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.5,3.857,3.342
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.4,3.749,2.605
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.4,3.691,3.309
Cleaned_4HBU_12035_mmff94_E=-7.61,-4.2,4.123,3.484
Cleaned_4HBU_12035_mmff94_E=-7.61,-4,10.539,9.962
Cleaned_4HBU_5479530_mmff94_E=105.35,-8.1,0,0
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.9,3.874,2.582
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.9,2.45,1.96
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.8,3.394,2.354
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.7,2.919,2.454
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.6,3.203,2.217
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.5,2.163,1.789
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.5,3.696,2.413
Cleaned_4HBU_5479530_mmff94_E=105.35,-7.2,4.616,3.612
