Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Cleaned_7OUK_338_mmff94_E=18.45,-5.5,0,0
Cleaned_7OUK_338_mmff94_E=18.45,-5.4,2.319,1.288
Cleaned_7OUK_338_mmff94_E=18.45,-5.4,5.812,4.396
Cleaned_7OUK_338_mmff94_E=18.45,-5.2,5.264,4.33
Cleaned_7OUK_338_mmff94_E=18.45,-5.2,3.813,2.913
Cleaned_7OUK_338_mmff94_E=18.45,-5.2,4.863,3.598
Cleaned_7OUK_338_mmff94_E=18.45,-5.2,5.751,4.53
Cleaned_7OUK_338_mmff94_E=18.45,-5.1,5.363,4.316
Cleaned_7OUK_338_mmff94_E=18.45,-5.1,4.872,3.52
Cleaned_7OUK_2353_mmff94_E=104.95,-9.5,0,0
Cleaned_7OUK_2353_mmff94_E=104.95,-7.2,7.618,1.188
Cleaned_7OUK_2520_mmff94_E=141.16,-6.3,0,0
Cleaned_7OUK_2520_mmff94_E=141.16,-6.1,3.655,2.277
Cleaned_7OUK_2520_mmff94_E=141.16,-5.7,4.595,2.733
Cleaned_7OUK_2520_mmff94_E=141.16,-5.7,3.678,2.254
Cleaned_7OUK_2520_mmff94_E=141.16,-5.5,2.217,1.565
Cleaned_7OUK_2520_mmff94_E=141.16,-5.4,7.862,5.318
Cleaned_7OUK_2520_mmff94_E=141.16,-5.4,20.032,15.291
Cleaned_7OUK_2520_mmff94_E=141.16,-5.3,7.98,5.585
Cleaned_7OUK_2520_mmff94_E=141.16,-5.3,19.412,15.845
Cleaned_7OUK_4594_mmff94_E=55.64,-6.2,0,0
Cleaned_7OUK_4594_mmff94_E=55.64,-5.7,4.515,2.997
Cleaned_7OUK_4594_mmff94_E=55.64,-5.5,17.804,16.268
Cleaned_7OUK_4594_mmff94_E=55.64,-5.5,19.46,17.522
Cleaned_7OUK_4594_mmff94_E=55.64,-5.4,18.54,16.894
Cleaned_7OUK_4594_mmff94_E=55.64,-5.4,17.976,16.097
Cleaned_7OUK_4594_mmff94_E=55.64,-5.4,18.99,17.146
Cleaned_7OUK_4594_mmff94_E=55.64,-5.3,31.648,29.873
Cleaned_7OUK_4594_mmff94_E=55.64,-5.3,29.576,28.095
Cleaned_7OUK_12035_mmff94_E=-7.61,-4.3,0,0
Cleaned_7OUK_12035_mmff94_E=-7.61,-4.2,4.377,2.957
Cleaned_7OUK_12035_mmff94_E=-7.61,-4.1,4.247,2.48
Cleaned_7OUK_12035_mmff94_E=-7.61,-4,3.916,1.849
Cleaned_7OUK_12035_mmff94_E=-7.61,-4,3.53,2.429
Cleaned_7OUK_12035_mmff94_E=-7.61,-4,3.005,2.681
Cleaned_7OUK_12035_mmff94_E=-7.61,-3.9,4.27,2.683
Cleaned_7OUK_12035_mmff94_E=-7.61,-3.8,14.723,13.86
Cleaned_7OUK_12035_mmff94_E=-7.61,-3.7,14.378,13.323
Cleaned_7OUK_5479530_mmff94_E=105.35,-6,0,0
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.9,2.451,1.766
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.8,2.761,1.424
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.7,9.786,2.812
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.6,10.342,3.871
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.6,9.441,2.632
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.6,4.395,2.968
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.6,8.929,4.117
Cleaned_7OUK_5479530_mmff94_E=105.35,-5.6,10.181,3.25
